LSOA21CD,wellbeing_score
E01000001,5.8
E01000002,5.1
E01000003,7.1
E01000005,4.8
E01000006,6.6
E01000007,6.0
E01000008,4.7
E01000009,6.5
E01000011,4.6
E01000012,6.2
E01000013,4.8
E01000014,4.9
E01000015,6.2
E01000016,7.8
E01000017,5.0
E01000018,5.4
E01000019,7.0
E01000020,8.3
E01000021,6.8
E01000022,6.1
E01000024,8.4
E01000025,4.7
E01000027,7.9
E01000028,5.7
E01000029,5.1
E01000030,5.0
E01000031,5.7
E01000032,7.8
E01000033,5.2
E01000034,6.8
E01000035,7.1
E01000036,6.0
E01000037,6.7
E01000038,4.8
E01000039,4.7
E01000040,5.3
E01000041,7.2
E01000042,6.2
E01000043,5.8
E01000044,6.8
E01000045,6.3
E01000046,5.7
E01000049,7.7
E01000050,7.3
E01000051,5.5
E01000052,6.8
E01000053,6.6
E01000054,8.0
E01000055,7.4
E01000056,5.7
E01000057,8.4
E01000058,5.0
E01000059,6.2
E01000060,7.5
E01000061,5.1
E01000062,6.5
E01000063,4.7
E01000064,7.2
E01000065,7.6
E01000066,6.8
E01000067,8.0
E01000068,5.8
E01000069,7.3
E01000070,6.9
E01000071,6.8
E01000072,6.3
E01000073,7.9
E01000074,8.3
E01000075,6.4
E01000076,7.2
E01000077,4.7
E01000078,7.3
E01000079,7.1
E01000080,8.5
E01000081,7.8
E01000082,5.6
E01000083,6.0
E01000084,7.2
E01000085,4.6
E01000086,6.3
E01000087,5.2
E01000088,5.0
E01000089,4.7
E01000090,7.6
E01000091,5.0
E01000093,5.5
E01000094,6.1
E01000095,8.0
E01000096,4.8
E01000097,6.3
E01000098,6.7
E01000099,8.0
E01000100,7.8
E01000101,8.0
E01000102,5.6
E01000103,6.2
E01000104,5.9
E01000105,8.0
E01000106,8.3
E01000107,5.1
E01000108,5.2
E01000110,5.4
E01000111,5.4
E01000112,6.4
E01000113,6.9
E01000114,5.6
E01000115,4.5
E01000116,6.2
E01000117,6.0
E01000118,6.8
E01000119,8.3
E01000120,7.3
E01000121,6.6
E01000122,7.0
E01000123,7.2
E01000124,4.7
E01000126,8.1
E01000127,7.6
E01000128,8.0
E01000129,7.7
E01000130,6.1
E01000131,6.1
E01000132,4.9
E01000133,7.0
E01000134,4.7
E01000135,4.8
E01000136,5.3
E01000137,5.1
E01000138,5.9
E01000139,4.7
E01000140,4.5
E01000141,5.1
E01000142,4.9
E01000143,6.0
E01000144,4.6
E01000145,8.0
E01000146,7.0
E01000147,5.1
E01000150,5.5
E01000151,5.9
E01000152,6.0
E01000153,5.0
E01000154,7.9
E01000156,8.5
E01000157,6.4
E01000158,6.4
E01000159,4.8
E01000160,4.9
E01000161,5.9
E01000162,5.6
E01000163,7.8
E01000164,5.1
E01000165,4.6
E01000166,8.3
E01000167,6.6
E01000168,5.1
E01000169,6.7
E01000170,4.6
E01000171,6.6
E01000172,8.4
E01000173,8.0
E01000174,7.3
E01000175,5.5
E01000176,6.0
E01000177,5.2
E01000178,7.6
E01000179,6.6
E01000180,7.6
E01000181,5.8
E01000182,5.4
E01000183,7.7
E01000184,8.4
E01000185,7.9
E01000186,7.7
E01000187,7.8
E01000188,7.5
E01000189,5.4
E01000190,6.6
E01000191,5.9
E01000192,4.6
E01000193,4.6
E01000194,5.6
E01000195,5.5
E01000196,7.3
E01000197,8.3
E01000198,6.3
E01000199,8.2
E01000200,8.5
E01000201,8.3
E01000202,6.0
E01000203,5.4
E01000204,5.4
E01000205,5.3
E01000206,5.3
E01000207,7.0
E01000208,8.1
E01000209,7.9
E01000210,6.4
E01000211,7.1
E01000212,7.7
E01000213,4.8
E01000214,7.1
E01000215,8.1
E01000216,7.6
E01000217,7.5
E01000218,6.4
E01000219,5.2
E01000220,7.7
E01000221,5.8
E01000222,7.7
E01000223,8.4
E01000224,6.1
E01000225,6.1
E01000226,8.3
E01000227,7.4
E01000228,5.2
E01000229,5.0
E01000230,5.1
E01000231,8.1
E01000232,7.7
E01000233,5.1
E01000234,7.8
E01000235,8.4
E01000236,7.1
E01000237,5.9
E01000238,6.7
E01000239,5.0
E01000240,4.6
E01000241,8.4
E01000242,7.1
E01000243,6.6
E01000244,8.2
E01000245,6.2
E01000246,8.0
E01000247,7.8
